id,cluster,image_path,image_href
174,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0032.png,../../../data/glomeruli/crops/RECHERCHE-005_0032.png
175,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0033.png,../../../data/glomeruli/crops/RECHERCHE-005_0033.png
176,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0034.png,../../../data/glomeruli/crops/RECHERCHE-005_0034.png
177,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0035.png,../../../data/glomeruli/crops/RECHERCHE-005_0035.png
178,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0036.png,../../../data/glomeruli/crops/RECHERCHE-005_0036.png
180,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0038.png,../../../data/glomeruli/crops/RECHERCHE-005_0038.png
181,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0039.png,../../../data/glomeruli/crops/RECHERCHE-005_0039.png
182,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0040.png,../../../data/glomeruli/crops/RECHERCHE-005_0040.png
184,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0042.png,../../../data/glomeruli/crops/RECHERCHE-005_0042.png
185,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0043.png,../../../data/glomeruli/crops/RECHERCHE-005_0043.png
186,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0044.png,../../../data/glomeruli/crops/RECHERCHE-005_0044.png
187,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0045.png,../../../data/glomeruli/crops/RECHERCHE-005_0045.png
188,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0046.png,../../../data/glomeruli/crops/RECHERCHE-005_0046.png
190,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0048.png,../../../data/glomeruli/crops/RECHERCHE-005_0048.png
192,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0050.png,../../../data/glomeruli/crops/RECHERCHE-005_0050.png
193,5,C:\Users\alexa\Desktop\Glomeruli-FP03-2026\data\glomeruli\crops\RECHERCHE-005_0051.png,../../../data/glomeruli/crops/RECHERCHE-005_0051.png
