backbone,normalization,pca_n_components,config,grad_distance_morph_corr,grad_neighborhood_consistency,grad_gradient_smoothness_moran
dinov2_base_cls,l2,20,l2+pca20,0.20341252612984517,0.024547872860921416,0.2961976615503021
dinov2_base_cls,none,5,none+pca5,0.14463163363193873,-0.15615784580890169,0.1948906092295951
dinov2_base_cls,none,10,none+pca10,0.19035102914252316,-0.03704510700629715,0.27880465931148635
dinov2_base_cls,none,20,none+pca20,0.20076459343541103,0.022777024234262977,0.2948781702500052
dinov2_base_patch,standard,5,standard+pca5,0.26296921745242885,-0.03239922867642919,0.28183623772320704
dinov2_base_patch,standard,10,standard+pca10,0.28529097750140353,0.03894369766902883,0.3409962781818931
dinov2_base_patch,standard,20,standard+pca20,0.3026610175121597,0.08437627523135605,0.37101013368448726
dinov2_base_patch,l2,5,l2+pca5,0.27725314221068864,-0.026284133383534858,0.28230495617312673
dinov2_base_patch,l2,10,l2+pca10,0.2952137954488568,0.03875926953949993,0.3333242511847483
dinov2_base_patch,l2,20,l2+pca20,0.3112554827970692,0.09263488260242692,0.34988949800745944
dinov2_base_patch,none,5,none+pca5,0.27790693011827694,-0.019665116773887936,0.29414812653600314
dinov2_base_patch,none,10,none+pca10,0.29763601437546916,0.0443762313618008,0.35413743882531656
dinov2_base_patch,none,20,none+pca20,0.313680199332741,0.09425960061071137,0.3810298183815855
dinov3_base_cls,standard,5,standard+pca5,0.1825792744989361,0.014887142317166036,0.3218759867500802
dinov3_base_cls,standard,10,standard+pca10,0.2167472383821316,0.06377276169771207,0.35742899203391326
dinov3_base_cls,standard,20,standard+pca20,0.22401287866342645,0.08163382699354371,0.3565264998675953
dinov3_base_cls,l2,5,l2+pca5,0.1863815087176136,0.03072698324343648,0.3343547789320385
dinov3_base_cls,l2,10,l2+pca10,0.21495599659122708,0.07627000771853432,0.3603109002198039
dinov3_base_cls,l2,20,l2+pca20,0.21838298391426347,0.07423961942951673,0.3554300655803921
dinov3_base_cls,none,5,none+pca5,0.18764327669499142,0.03202748689733226,0.3302028784793
dinov3_base_cls,none,10,none+pca10,0.2158821359799734,0.07511973388698967,0.3608887060594798
dinov3_base_cls,none,20,none+pca20,0.2201791019625329,0.07333475136401324,0.3525651457542552
dinov3_base_patch,standard,5,standard+pca5,0.2315275316637143,0.0037557009701929545,0.3156048139530106
