backbone,normalization,pca_n_components,config,hopkins_mean,MNN@5,MNN@10,MNN@20,hubness skew,max hubness
dinov2_base_cls,standard,5,standard+pca5,0.7144515864173938,0.7255539143279173,0.7586410635155096,0.788330871491876,0.06704434855535514,20.0
dinov2_base_cls,standard,10,standard+pca10,0.7223514242259751,0.6717872968980798,0.7060561299852289,0.7342688330871492,0.40147132779740025,29.0
dinov2_base_cls,standard,20,standard+pca20,0.7213743047485949,0.6451994091580502,0.6709010339734122,0.7039881831610044,0.5162227010761296,27.0
dinov2_base_cls,l2,5,l2+pca5,0.7159618389926233,0.7190546528803545,0.7571639586410636,0.782274741506647,0.04669137765356594,20.0
dinov2_base_cls,l2,10,l2+pca10,0.7234799746303348,0.6629246676514032,0.6874446085672082,0.7236336779911374,0.4477321819752775,28.0
dinov2_base_cls,l2,20,l2+pca20,0.7199069844546944,0.63397341211226,0.654357459379616,0.6930576070901034,0.62057009315655,29.0
dinov2_base_cls,none,5,none+pca5,0.713853589917996,0.7225997045790251,0.7574593796159528,0.7827178729689808,0.05650978679149315,20.0
dinov2_base_cls,none,10,none+pca10,0.7223704232223247,0.6629246676514032,0.6883308714918759,0.7233382570162481,0.45341351498503535,27.0
dinov2_base_cls,none,20,none+pca20,0.7188049056113718,0.6333825701624816,0.654357459379616,0.6927621861152142,0.6158212175824475,29.0
dinov2_base_patch,standard,5,standard+pca5,0.7150537174294329,0.7184638109305761,0.7589364844903989,0.7849335302806499,0.20408493950927695,20.0
dinov2_base_patch,standard,10,standard+pca10,0.7302629694811142,0.6646971935007385,0.707533234859675,0.7460856720827179,0.48200159325519937,28.0
dinov2_base_patch,standard,20,standard+pca20,0.7226367994920401,0.6351550960118169,0.6729689807976367,0.7129985228951256,0.7485607415593871,28.0
dinov2_base_patch,l2,5,l2+pca5,0.7349901664431603,0.7125553914327917,0.7533234859675036,0.7751846381093057,0.26654524228370136,21.0
dinov2_base_patch,l2,10,l2+pca10,0.7368588013788689,0.6534711964549483,0.6933530280649927,0.7258493353028065,0.4236399901043666,26.0
dinov2_base_patch,l2,20,l2+pca20,0.7334147125226315,0.6327917282127031,0.6525849335302807,0.6943870014771049,0.7511302324649439,31.0
dinov2_base_patch,none,5,none+pca5,0.7181356337785861,0.7161004431314624,0.7553914327917283,0.768685376661743,0.1647133739361028,20.0
dinov2_base_patch,none,10,none+pca10,0.7233501103158453,0.6576070901033974,0.6930576070901034,0.7246676514032496,0.44311824459089694,25.0
dinov2_base_patch,none,20,none+pca20,0.7199679775430445,0.63397341211226,0.6564254062038405,0.6921713441654358,0.7515629789569777,32.0
dinov3_base_cls,standard,5,standard+pca5,0.7129162915515641,0.7025110782865583,0.7388478581979321,0.7641063515509601,0.2602123386882095,24.0
dinov3_base_cls,standard,10,standard+pca10,0.7207174585431534,0.6664697193500738,0.6977843426883309,0.727178729689808,0.6072035941366206,29.0
dinov3_base_cls,standard,20,standard+pca20,0.7128352355457102,0.6440177252584933,0.6697193500738552,0.7017725258493352,0.6770114436739247,31.0
dinov3_base_cls,l2,5,l2+pca5,0.7209551835877862,0.6889217134416543,0.710192023633678,0.7364844903988184,0.1738542959020832,23.0
dinov3_base_cls,l2,10,l2+pca10,0.7265206596370113,0.6522895125553915,0.6685376661742983,0.7005908419497784,0.739742193827726,30.0
dinov3_base_cls,l2,20,l2+pca20,0.72088772055119,0.63397341211226,0.644903988183161,0.6697193500738552,0.6868338088315731,30.0
dinov3_base_cls,none,5,none+pca5,0.7194208906987812,0.6918759231905466,0.7184638109305761,0.7366322008862629,0.11467940443043252,21.0
dinov3_base_cls,none,10,none+pca10,0.7268476746304775,0.6564254062038405,0.6661742983751846,0.7022156573116691,0.7239505773093305,29.0
dinov3_base_cls,none,20,none+pca20,0.7207757166748214,0.638109305760709,0.6466765140324963,0.6697193500738552,0.6468452153990679,29.0
dinov3_base_patch,standard,5,standard+pca5,0.6986862125126762,0.7249630723781388,0.7630723781388479,0.7796159527326441,0.13925277841683828,20.0
dinov3_base_patch,standard,10,standard+pca10,0.7058591948801962,0.6593796159527326,0.6977843426883309,0.7457902511078287,0.5035966200485851,28.0
dinov3_base_patch,standard,20,standard+pca20,0.7057002034858741,0.646381093057607,0.6771048744460857,0.725258493353028,0.6477087789139323,27.0
dinov3_base_patch,l2,5,l2+pca5,0.7126637327411837,0.723781388478582,0.7515509601181684,0.7694239290989661,0.21200636392961947,23.0
dinov3_base_patch,l2,10,l2+pca10,0.7147091686280514,0.646381093057607,0.6833087149187592,0.7322008862629247,0.47210575574691227,27.0
dinov3_base_patch,l2,20,l2+pca20,0.7224470241586417,0.6440177252584933,0.658493353028065,0.7025110782865583,0.7475010455034397,30.0
dinov3_base_patch,none,5,none+pca5,0.7104627277535065,0.7285081240768094,0.7574593796159528,0.7719350073855243,0.18671583484165957,20.0
dinov3_base_patch,none,10,none+pca10,0.7103488010970089,0.6493353028064993,0.6865583456425406,0.7336779911373708,0.5054018917560531,27.0
dinov3_base_patch,none,20,none+pca20,0.7128893173282446,0.646381093057607,0.6590841949778434,0.7048744460856721,0.667641006312646,29.0
kimianet_1000,standard,5,standard+pca5,0.7289269754669329,0.7125553914327917,0.7438700147710487,0.7536189069423929,0.0043830261516762245,21.0
kimianet_1000,standard,10,standard+pca10,0.7443199331705115,0.6369276218611521,0.6741506646971935,0.7149187592319055,0.4099009135669876,26.0
kimianet_1000,standard,20,standard+pca20,0.7671523900254573,0.6268833087149187,0.6593796159527326,0.6883308714918759,0.5461781530507231,28.0
kimianet_1000,l2,5,l2+pca5,0.7422872444552202,0.678877400295421,0.7022156573116691,0.7081240768094534,0.38132333708446225,24.0
kimianet_1000,l2,10,l2+pca10,0.7078656350638152,0.620384047267356,0.6413589364844904,0.6518463810930576,0.4463701250655311,27.0
kimianet_1000,l2,20,l2+pca20,0.7129403030533535,0.5937961595273265,0.6186115214180207,0.6304283604135894,0.6446533504828204,34.0
kimianet_1000,none,5,none+pca5,0.7487161476962555,0.6971935007385525,0.7010339734121123,0.7076809453471197,0.3425266300912156,23.0
kimianet_1000,none,10,none+pca10,0.716811203309728,0.6038404726735598,0.6322008862629247,0.6497784342688331,0.6294896876661755,28.0
kimianet_1000,none,20,none+pca20,0.7172663810563439,0.5867060561299853,0.6150664697193501,0.6327917282127031,0.6510484916866462,30.0
kimianet_224,standard,5,standard+pca5,0.7511489493730119,0.7137370753323486,0.7326440177252584,0.772821270310192,0.2084511779618901,22.0
kimianet_224,standard,10,standard+pca10,0.7309414406246824,0.6239290989660266,0.68301329394387,0.7288035450516986,0.5078426942477834,27.0
kimianet_224,standard,20,standard+pca20,0.7311569172077987,0.6209748892171344,0.666765140324963,0.7152141802067947,0.6955000920324065,30.0
kimianet_224,l2,5,l2+pca5,0.6871895945644151,0.7302806499261447,0.7568685376661743,0.797341211225997,-0.08745498691517345,18.0
kimianet_224,l2,10,l2+pca10,0.6709139112920279,0.6451994091580502,0.6886262924667651,0.7423929098966027,0.4523209939668889,25.0
kimianet_224,l2,20,l2+pca20,0.6699501312335079,0.5855243722304284,0.6410635155096012,0.7002954209748892,0.6339572492006199,28.0
kimianet_224,none,5,none+pca5,0.7737257778445701,0.7296898079763663,0.7485967503692762,0.7791728212703102,0.20576824513283457,20.0
kimianet_224,none,10,none+pca10,0.7599310841768404,0.6280649926144757,0.6685376661742983,0.7189069423929099,0.6119079284608551,26.0
kimianet_224,none,20,none+pca20,0.7355818339368371,0.583751846381093,0.6301329394387002,0.6861152141802068,0.6804872944679918,32.0
mobilenet,standard,5,standard+pca5,0.7622952133565647,0.6889217134416543,0.7205317577548006,0.7398818316100443,0.31866089261570335,23.0
mobilenet,standard,10,standard+pca10,0.7607579358100929,0.6392909896602659,0.6679468242245199,0.7129985228951256,0.7654337869930619,29.0
mobilenet,standard,20,standard+pca20,0.7603183894164374,0.6375184638109306,0.6493353028064993,0.6813884785819794,0.6851669582795802,29.0
mobilenet,l2,5,l2+pca5,0.7146165121193954,0.6753323485967504,0.7004431314623338,0.7261447562776957,0.29839366675100404,24.0
mobilenet,l2,10,l2+pca10,0.7137295356292583,0.6186115214180207,0.6537666174298375,0.6828655834564255,0.7970976049306673,33.0
mobilenet,l2,20,l2+pca20,0.7107375291943779,0.6097488921713442,0.6156573116691285,0.6481536189069423,0.8090625586666405,30.0
mobilenet,none,5,none+pca5,0.7178690515710123,0.6617429837518464,0.7010339734121123,0.7227474150664697,0.350324976122047,22.0
mobilenet,none,10,none+pca10,0.7087834511444904,0.629837518463811,0.6511078286558346,0.6880354505169867,0.7944225554289565,33.0
mobilenet,none,20,none+pca20,0.712585545710198,0.6103397341211226,0.6174298375184638,0.6525849335302807,0.8022790114835281,29.0
nasnet,standard,5,standard+pca5,0.7402154732504431,0.6664697193500738,0.7039881831610044,0.7419497784342688,0.15850183041355043,21.0
nasnet,standard,10,standard+pca10,0.7729591145577914,0.6156573116691285,0.6673559822747415,0.713589364844904,0.45581881468369456,28.0
nasnet,standard,20,standard+pca20,0.7959721292330753,0.5961595273264402,0.6372230428360414,0.6915805022156574,0.5598988094283913,30.0
nasnet,l2,5,l2+pca5,0.6800260962862822,0.6759231905465288,0.699261447562777,0.7261447562776957,0.21438129591306118,24.0
nasnet,l2,10,l2+pca10,0.6910822542719075,0.6020679468242245,0.6484490398818316,0.6968980797636632,0.3826748345155886,25.0
nasnet,l2,20,l2+pca20,0.6965717242508948,0.5979320531757755,0.6257016248153618,0.6740029542097489,0.4710235776128063,26.0
nasnet,none,5,none+pca5,0.6923659383946914,0.6847858197932053,0.7246676514032496,0.7511078286558346,0.09634736427970103,21.0
nasnet,none,10,none+pca10,0.6955523933527854,0.6239290989660266,0.6638109305760709,0.6963072378138848,0.3961361470677743,26.0
nasnet,none,20,none+pca20,0.7048815510947827,0.5979320531757755,0.6316100443131463,0.6759231905465288,0.501841165248553,27.0
xception,standard,5,standard+pca5,0.7558824052393192,0.6841949778434269,0.7323485967503692,0.7700147710487445,0.23589492491600714,22.0
xception,standard,10,standard+pca10,0.7563017862544682,0.6357459379615953,0.6703101920236337,0.717725258493353,0.6216982651457897,26.0
xception,standard,20,standard+pca20,0.77447518310973,0.6091580502215658,0.6434268833087149,0.6872968980797637,0.9121747886296153,32.0
xception,l2,5,l2+pca5,0.697410270486056,0.692466765140325,0.7240768094534712,0.7478581979320532,0.3969209129787095,23.0
xception,l2,10,l2+pca10,0.6715407262507734,0.6280649926144757,0.6638109305760709,0.7073855243722305,0.5814781521573883,27.0
xception,l2,20,l2+pca20,0.6731124377038964,0.5967503692762186,0.621861152141802,0.6750369276218612,1.0423330728444506,33.0
xception,none,5,none+pca5,0.7009755447508794,0.6818316100443131,0.7367799113737076,0.7654357459379616,0.10889105059755406,22.0
xception,none,10,none+pca10,0.6872030111023792,0.624519940915805,0.6617429837518464,0.7002954209748892,0.7667595880607786,28.0
xception,none,20,none+pca20,0.6856436670481689,0.5872968980797637,0.6259970457902511,0.6713441654357459,0.9342857717801615,33.0
